1517520,543663,IP8,Slice6,3619,3415

1812308,95837,IP5,Slice1,1814,2251

1021575,895734,IP13,Slice10,6645,4080

908877,186534,IP15,Slice2,841,2655

1360196,491276,IP10,Slice6,1634,358

1175908,626305,IP12,Slice7,1656,3328

1441741,168157,IP9,Slice2,2351,1509

1125649,1017243,IP12,Slice12,5749,1192

1430585,867088,IP9,Slice10,3258,2385

1408745,742983,IP9,Slice9,5035,127

1178746,851253,IP12,Slice10,1424,1484

1207435,645327,IP11,Slice7,6466,4396

981861,611650,IP14,Slice7,2461,2440

978442,339567,IP14,Slice4,2739,1527

757025,47938,IP16,Slice0,5710,4504

863432,72365,IP15,Slice1,4535,978

659862,801614,IP17,Slice9,6105,3574

234599,357537,IP22,Slice4,3180,2692

562572,787500,IP18,Slice9,6587,2782

577611,1124990,IP18,Slice13,5372,2520

691400,460706,IP17,Slice5,3543,3636

255376,836625,IP22,Slice10,1495,712

37420,254290,IP24,Slice3,4657,1703

265463,481681,IP22,Slice5,676,4953

377007,1200040,IP20,Slice14,6666,1981

297002,147334,IP21,Slice2,5846,443

382056,765904,IP20,Slice9,6256,1591

531363,556822,IP19,Slice6,1795,4365

678936,833401,IP17,Slice10,4556,433

721734,752331,IP17,Slice9,1080,692

261725,633825,IP22,Slice7,979,3851

316825,684378,IP21,Slice8,4239,1852

532338,560281,IP19,Slice6,1716,4567

645562,487975,IP17,Slice6,7267,231

482846,22007,IP19,Slice0,5723,3086

528429,33107,IP19,Slice0,2033,3735

700901,23897,IP17,Slice0,2772,3090

1884956,1479797,IP4,Slice17,3585,3175

2115746,1919490,IP1,Slice22,7204,3912

1475628,1389482,IP8,Slice16,7048,2882

1476256,1685247,IP8,Slice20,6996,180

2105602,1340733,IP1,Slice16,8034,63

2105602,1340733,IP2,Slice16,544,79

1798802,1620888,IP5,Slice19,2913,1443

1821787,1411705,IP5,Slice16,1043,4209

1478566,2230376,IP8,Slice26,6807,2062

1474555,2358877,IP8,Slice27,7136,4577

2058886,2373866,IP2,Slice28,4336,502

1665871,2273539,IP6,Slice26,6499,4548

1904335,2141296,IP4,Slice25,2002,1863

2118047,2072348,IP1,Slice24,7016,2852

2163962,1407101,IP1,Slice16,3259,3945

1856473,1448074,IP4,Slice17,5913,1320

1898086,2476899,IP4,Slice29,2512,1491

1325256,1267902,IP10,Slice15,4482,779

1175381,1262673,IP12,Slice15,1698,546

1389836,1842889,IP9,Slice21,6574,4455

890715,2436852,IP15,Slice28,2317,4264

1098781,2027498,IP12,Slice24,7938,277

1098781,2027498,IP13,Slice24,391,271

755845,1660310,IP16,Slice19,5806,3803

757080,1796013,IP16,Slice21,5705,1739

1404279,1347673,IP9,Slice16,5398,492

758991,1355655,IP16,Slice16,5550,985

107912,1501069,IP23,Slice17,6296,4642

183072,1262699,IP22,Slice15,7361,631

183072,1262699,IP23,Slice15,205,701

723932,1692970,IP17,Slice20,901,705

48887,1262127,IP24,Slice15,3725,646

185390,1697083,IP22,Slice20,7173,1035

185390,1697083,IP23,Slice20,17,1105

296012,2365925,IP21,Slice28,5926,196

693515,2436586,IP17,Slice28,3372,4195

229415,2084630,IP22,Slice24,3601,3701

678949,2072375,IP17,Slice24,4555,2894

635024,1493427,IP17,Slice17,8123,4035

635024,1493427,IP18,Slice17,732,4068

214924,1582150,IP22,Slice18,4777,4314

186636,1297450,IP22,Slice15,7072,2663

645980,1337819,IP17,Slice15,7233,4934

2015339,277691,IP2,Slice3,7871,2908

2015339,277691,IP3,Slice3,559,2867

2118022,833413,IP1,Slice10,7018,393

1478786,218623,IP8,Slice2,6789,4405

1477331,895953,IP8,Slice10,6908,4019

1918473,372705,IP4,Slice4,846,3428

1682861,968898,IP6,Slice11,5116,3247

2075879,647608,IP2,Slice7,2957,4542

2033239,1093919,IP2,Slice13,6418,644

1845050,1091067,IP4,Slice13,6847,441

1531065,883363,IP8,Slice10,2510,3282

1647900,780283,IP6,Slice9,7961,2216

1647900,780283,IP7,Slice9,538,2277

1511093,622259,IP8,Slice7,4145,3012
